ser_no,co_chg,dpt_code,dptname,cou_code,class,year,credit,forh,sel_code,cou_cname,cou_ename,tea_cname,clsrom_1,clsrom_2,daytime,mark,co_tp,co_gmark,clsrom_3,clsrom_4,clsrom_5,clsrom_6,co_select,tlec,tlab
25512,,9010,電機系02甲,202 10501,11,1 年級10,1,全年年級,必修年級,普通物理學實驗上1班者/普物實驗,General Physics Lab. (1),張慶瑞era,,普物實驗三al Ph,二789三,限選修普物甲上12班者/普物實驗3總人數限 70人限本系所學生(含輔系、雙修生)且限學號末二位被３整除_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,,,,,2,0,3
41427,,9010,電機系07甲,203 101C0,05,1 年級10,3,半年年級,必修年級,普通化學丙01C0班,General Chemistry (c),周必泰era,,,三34五34l ,"本課程中文授課,使用英文教科書。請依指定修習院系班次修習。詳閱化學系選課須知。初選期間不開放通識A7*課加選。總人數限 60人限本系所學生(含輔系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",2,,普501文,,新505文,,2,4,0
86050,,9010,電機系00授,203 10500,16,1 年級10,1,半年年級,必修年級,普通化學實驗500用英文,General Chemistry Lab.,周必泰era,思亮103al,,一3453,詳化學系選課須知。實驗須與課程併修或後修。上課位置:思亮館103普化實驗室。總人數限 88人限本系所學生(含輔系、雙修生)0人限本系所學生(含輔系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,,,,,2,0,3
50256,,9010,電機系06課,901 00110,,1 年級00,0,半年年級,必修年級,服務學習一0110實,Student Service Education (Ⅰ)1,陳士元den,,,,"重修生修習,其他依導生班修習總人數限 30人ion (Ⅰ)103普化實驗室。總人",1,,,,,,1,0,1
82536,,9010,"電機系06,",901 00110,01,1 年級00,0,半年年級,必修年級,服務學習一0110導,Student Service Education (Ⅰ)1,江介宏den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
52217,,9010,電機系07習,901 00110,02,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,周俊廷den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
17549,,9010,電機系09習,901 00110,03,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,林晃巖den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
60526,,9010,電機系06習,901 00110,04,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,張時中den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
76665,,9010,電機系05習,901 00110,05,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,曹恒偉den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
60310,,9010,電機系00習,901 00110,06,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,連豊力den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
42558,,9010,電機系08習,901 00110,07,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,陳銘憲den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
11803,,9010,電機系03習,901 00110,08,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,雷欽隆den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
68350,,9010,電機系00習,901 00110,09,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,蔡坤諭den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
61137,,9010,電機系07習,901 00110,10,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,蔡睿哲den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
41781,,9010,電機系01習,901 00110,11,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,鄭士康den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
42694,,9010,電機系04習,901 00110,12,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,簡韶逸den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
59420,,9010,電機系00習,901 00110,13,1 年級00,0,半年年級,必修年級,服務學習一0110限,Student Service Education (Ⅰ)1,盧信嘉den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
59058,,9010,電機系08習,901 10210,01,1 年級10,3,半年年級,必修年級,計算機程式0210限,Computer Programming,謝宏昀put,,電二144te,二6三89te,本系優先。總人數限 60人限本系所學生(含輔系、雙修生))103普化實驗室。總人數限 88人限本系所學,1,,電二144總人,,,,2,3,0
31909,,9010,電機系09總,901 10210,02,1 年級10,3,半年年級,必修年級,計算機程式0210 ,Computer Programming,廖婉君put,,博理112te,二6三89te,本系優先總人數限 60人限本系所學生(含輔系、雙修生)))103普化實驗室。總人數限 88人限本系,1,,博理112人數,,,,2,3,0
73451,,9010,電機系01人,901 10210,03,1 年級10,3,半年年級,必修年級,計算機程式02106,Computer Programming,林宗男put,,博理113te,二6三89te,本系優先總人數限 60人限本系所學生(含輔系、雙修生)))103普化實驗室。總人數限 88人限本系,1,,博理113人數,,,,2,3,0
48081,,9010,電機系01人,901 10210,04,1 年級10,3,半年年級,必修年級,計算機程式02106,Computer Programming,魏宏宇put,,電二145te,二6三89te,本系優先總人數限 60人限本系所學生(含輔系、雙修生)))103普化實驗室。總人數限 88人限本系,1,,電二145人數,,,,2,3,0
41440,,9010,電機系00人,B01 15000,,1 年級15,4,半年年級,必修年級,生物科學通論00060人,Introduction of Biological Sciences,莊曜宇rod,明達231du,,一34五34uc,與朱有田、李心予、阮雪芬合開總人數限120人ical Sciences驗室。總人數,1,,,,明達231李心,,2,4,0
,,9010,電機系01李,002 10040,,2 年級10,1,半年年級,必修年級,專項運動學群040阮雪芬,Various  Sport Courses,,,,,請參閱附錄課表後所附之體育課程時間表總人數限 60人 Sciences驗室。總人數限 88人限本系,1,,,,,,,0,2
88023,,9010,電機系03課,901 00220,,2 年級00,0,半年年級,必修年級,服務學習二0220附,Student Service Education (Ⅱ)i,陳士元den,,,,重修生修習，其他依導生班修習。總人數限 30人on (Ⅱ)iences驗室。總人數限 ,1,,,,,,1,0,1
85829,,9010,電機系09，,901 00220,01,2 年級00,0,半年年級,必修年級,服務學習二0220導,Student Service Education (Ⅱ)i,王  倫en,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
14176,,9010,電機系06習,901 00220,02,2 年級00,0,半年年級,必修年級,服務學習二0220限,Student Service Education (Ⅱ)i,江簡富den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
32159,,9010,電機系09習,901 00220,03,2 年級00,0,半年年級,必修年級,服務學習二0220限,Student Service Education (Ⅱ)i,吳肇欣den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
50968,,9010,電機系08習,901 00220,04,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,李峻霣den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
11555,,9010,電機系05習,901 00220,06,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,李琳山den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
28064,,9010,電機系04習,901 00220,07,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,貝蘇章den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
87728,,9010,電機系08習,901 00220,08,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,林怡成den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
19575,,9010,電機系05習,901 00220,09,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,林清富den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
24996,,9010,電機系06習,901 00220,10,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,陳和麟den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
43437,,9010,電機系07習,901 00220,11,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,黃建璋den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
71398,,9010,電機系08習,901 00220,12,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,黃寶儀den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
39203,,9010,電機系03習,901 00220,13,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,楊家驤den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
14466,,9010,電機系06習,901 00220,14,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,蘇炫榮den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
86454,,9010,電機系04習,901 00220,15,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,謝宏昀den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
22055,,9010,電機系05習,901 00220,16,2 年級00,0,半年年級,必修年級,服務學習二0220數,Student Service Education (Ⅱ)i,李建模den,,,,總人數限 30人Servi,1,,,,,,1,0,1
66975,,9010,電機系053,901 10020,01,2 年級10,3,半年年級,必修年級,工程數學-微分方程ervice E,Engineering Mathematics-differential Equation,黃天偉ine,,,三34五2ee,本系優先總人數限 70人Mathemati,1,,電二106人數,,電二106人數,,2,3,0
55260,,9010,電機系00人,901 10020,02,2 年級10,3,半年年級,必修年級,工程數學-微分方程70人Mathe,Engineering Mathematics-differential Equation,管傑雄ine,,,三34五2ee,本系優先總人數限 70人Mathemati,1,,博理112人數,,博理112人數,,2,3,0
67700,,9010,電機系00人,901 10020,03,2 年級10,3,半年年級,必修年級,工程數學-微分方程70人Mathe,Engineering Mathematics-differential Equation,丁建均ine,,,三34五2ee,本系優先總人數限 70人Mathemati,1,,電二143人數,,電二143人數,,2,3,0
49776,,9010,電機系06人,901 10020,04,2 年級10,3,半年年級,必修年級,工程數學-微分方程70人Mathe,Engineering Mathematics-differential Equation,黃定洧ine,,,三34五2ee,本系優先。總人數限 70人athematics,1,,博理113總人,,博理113總人,,2,3,0
81140,,9010,電機系00總,901 20100,01,2 年級20,3,半年年級,必修年級,電路學級20,Electronic Circuits,毛明華ctr,,,三2五34ro,本系優先。總人數限 60人rcuitstics,1,,電二143總人,,電二143總人,,2,3,0
63605,,9010,電機系05總,901 20100,02,2 年級20,3,半年年級,必修年級,電路學級20,Electronic Circuits,陳耀銘ctr,,,三2五34ro,本系優先。總人數限 60人rcuitstics,1,,博理113總人,,博理113總人,,2,3,0
44963,,9010,電機系03總,901 20100,03,2 年級20,3,半年年級,必修年級,電路學級20,Electronic Circuits,陳信樹ctr,,,三2五34ro,本系優先。總人數限 60人rcuitstics,1,,電二106總人,,電二106總人,,2,3,0
47514,,9010,電機系04總,901 20100,04,2 年級20,3,半年年級,必修年級,電路學級20,Electronic Circuits,吳忠幟ctr,,,三2五34ro,本系優先。總人數限 60人rcuitstics,1,,博理112總人,,博理112總人,,2,3,0
25419,,9010,電機系09總,901 20100,05,2 年級20,3,半年年級,必修年級,電路學級20,Electronic Circuits,陳奕君ctr,,,三2五34ro,本課程以英語授課。本系優先。總人數限 60人s-differential Equa,1,,電二225語授,,電二225語授,,2,3,0
31556,,9010,電機系06語,901 20310,,2 年級20,1,半年年級,必修年級,電子電路實驗(一)本系優先。總人,Electronic Circuits Experiment (Ⅰ)a,李泰成ctr,,,,本係優先總人數限250人ircuits E,1,,,,,,1,0,3
36836,,9010,電機系06人,901 24110,01,2 年級24,3,半年年級,必修年級,電子學一2411,Electronics (Ⅰ)u,吳肇欣ctr,,,四89五7ro,本系優先總人數限 70人(Ⅰ)uits E,1,,,電二229人數,電二229人數,,2,3,0
80065,,9010,電機系05人,901 24110,02,2 年級24,3,半年年級,必修年級,電子學一2411,Electronics (Ⅰ)u,林致廷ctr,,,四89五7ro,"本系優先。週四上到6pm,週五從第6堂(1:10pm)開始上課。總人數限 70人ation人限本系所學生(含輔系、雙修生)0人限",1,,,電二106週四,電二106週四,,2,3,0
37734,,9010,電機系04週,901 24110,03,2 年級24,3,半年年級,必修年級,電子學一2411,Electronics (Ⅰ)從,呂良鴻ctr,,,四89五7ro,本系優先。週四第10堂(5:30~6:20)要上課。總人數限 70人數限 70人ation人限本系所學生,1,,,電二143週四,電二143週四,,2,3,0
74187,,9010,電機系07週,901 24110,04,2 年級24,3,半年年級,必修年級,電子學一2411,Electronics (Ⅰ)0,林宗賢ctr,,,四89五7ro,本系優先。總人數限 70人Ⅰ)0~6:20)要,1,,,電二144總人,電二144總人,,2,3,0
88085,,9010,電機系05總,901 32300,01,2 年級32,3,半年年級,必修年級,交換電路與邏輯設計 70人Ⅰ)0~6,Switching Circuit and Logic Design,楊家驤tch,,,四7五89hi,本系優先總人數限 40人rcuit and,1,,,電二144人數,電二144人數,,2,3,0
83449,,9010,電機系09人,901 32300,02,2 年級32,3,半年年級,必修年級,交換電路與邏輯設計40人rcuit ,Switching Circuit and Logic Design,簡韶逸tch,,,四7五89hi,本系優先總人數限 80人rcuit and,1,,,電二143人數,電二143人數,,2,3,0
52366,,9010,電機系06人,901 32300,03,2 年級32,3,半年年級,必修年級,交換電路與邏輯設計80人rcuit ,Switching Circuit and Logic Design,江介宏tch,,,四7五89hi,本系優先總人數限 80人rcuit and,1,,,電二106人數,電二106人數,,2,3,0
58799,,9010,電機系09人,901 32300,04,2 年級32,3,半年年級,必修年級,交換電路與邏輯設計80人rcuit ,Switching Circuit and Logic Design,劉宗德tch,,,四7五89hi,本系優先。總人數限 70人cuit and L,1,,,電二229總人,電二229總人,,2,3,0
79968,,9010,電機系08總,901 00330,,3 年級00,0,半年年級,必修年級,服務學習三0330 ,Student Service Education (Ⅲ)e,陳士元den,,,,"重修生修習,其他依導生班修習總人數限 30人ion (Ⅲ)esign數限 70人",1,,,,,,1,0,1
39651,,9010,"電機系01,",901 00330,01,3 年級00,0,半年年級,必修年級,服務學習三0330導,Student Service Education (Ⅲ)e,毛明華den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,0
66607,,9010,電機系07習,901 00330,02,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,王  凡en,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
84156,,9010,電機系06習,901 00330,04,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,王勝德den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
66728,,9010,電機系08習,901 00330,05,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,吳安宇den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
35299,,9010,電機系09習,901 00330,06,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,李宏毅den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
80568,,9010,電機系08習,901 00330,07,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,李嗣涔den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
79779,,9010,電機系09習,901 00330,08,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,林浩雄den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
60363,,9010,電機系03習,901 00330,09,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,邱奕鵬den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
27772,,9010,電機系02習,901 00330,10,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,陳怡然den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
59686,,9010,電機系06習,901 00330,11,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,彭隆瀚den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
31170,,9010,電機系00習,901 00330,12,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,曾雪峰den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
85938,,9010,電機系08習,901 00330,14,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,黃升龍den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
76362,,9010,電機系02習,901 00330,15,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,劉深淵den,,,,總人數限 30人Servi,1,,,,,,1,0,1
56113,,9010,電機系033,901 00330,16,3 年級00,0,半年年級,必修年級,服務學習三0330e,Student Service Education (Ⅲ)e,瞿大雄den,,,,依導生班修習。總人數限 30人 Education (,1,,,,,,1,0,1
15832,,9010,電機系02習,901 00330,17,3 年級00,0,半年年級,必修年級,服務學習三0330數,Student Service Education (Ⅲ)e,顏嗣鈞den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
65154,,9010,電機系04習,901 00330,18,3 年級00,0,半年年級,必修年級,服務學習三0330限,Student Service Education (Ⅲ)e,李建模den,,,,依導生班修習總人數限 30人e Education,1,,,,,,1,0,1
58080,,9010,電機系00習,901 10080,,3 年級10,2,半年年級,必修年級,電工實驗(網路與多媒體)0人e Educat,Electrical Engineering Lab (networking and Multinmedia),林宗男ctr,,,,初選不開放。本系優先總人數限 20人ring Lab (netwo,1,,,,,,2,0,6
61470,,9010,電機系00。,901 20330,,3 年級20,1,半年年級,必修年級,電子電路實驗三30先總人數限,Electronic Circuits Experiment (Ⅲ)k,林致廷ctr,,,,本系優先總人數限250人ircuits E,1,,,,,,1,0,3
86870,,9010,電機系00人,901 25120,01,3 年級25,3,半年年級,必修年級,電磁學二2512,Electromagnetics (Ⅱ)E,吳瑞北ctr,電二145ro,電二145ro,一34二7ro,本系優先。總人數限 70人ics (Ⅱ)Exp,1,,,,,,2,3,0
50505,,9010,電機系05總,901 25120,02,3 年級25,3,半年年級,必修年級,電磁學二2512,Electromagnetics (Ⅱ)E,毛紹綱ctr,電二144ro,電二144ro,一34二7ro,本系優先總人數限 70人tics (Ⅱ)E,1,,,,,,2,3,0
45543,,9010,電機系03人,901 25120,03,3 年級25,3,半年年級,必修年級,電磁學二2512,Electromagnetics (Ⅱ)E,吳宗霖ctr,博理113ro,博理113ro,一34二7ro,本系優先總人數限 70人tics (Ⅱ)E,1,,,,,,2,3,0
66488,,9010,電機系08人,901 25120,04,3 年級25,3,半年年級,必修年級,電磁學二2512,Electromagnetics (Ⅱ)E,江簡富ctr,博理112ro,博理112ro,一34二7ro,本系優先總人數限 70人tics (Ⅱ)E,1,,,,,,2,3,0
22203,,9010,電機系03人,901 30150,,3 年級30,2,半年年級,必修年級,電工實驗(電磁波)70人tics,Electrical Engineering Lab. (electromagnetic Waves),林坤佑ctr,,,,初選不開放。本系優先總人數限 24人ring Lab. (elec,1,,,,,,2,0,6
32062,,9010,電機系02。,901 30160,,3 年級30,2,半年年級,必修年級,電工實驗(電力電子)總人數限 24人,Power Electronics Laboratory,陳耀銘er ,,,,初選不開放。本系優先總人數限 30人Laboratory(elec,1,,,,,,2,0,6
21454,,9010,電機系04。,901 34130,01,3 年級34,3,半年年級,必修年級,電子學三3413,Electronics (Ⅲ)3,林宗賢ctr,博理113ro,博理113ro,一2二89ro,本系優先總人數限 70人(Ⅲ)30人Lab,1,,,,,,2,3,0
11213,,9010,電機系03人,901 34130,02,3 年級34,3,半年年級,必修年級,電子學三3413,Electronics (Ⅲ)3,鍾孝文ctr,明達231ro,明達231ro,一2二89ro,本系優先總人數限 70人(Ⅲ)30人Lab,1,,,,,,2,3,0
80975,,9010,電機系05人,901 34130,03,3 年級34,3,半年年級,必修年級,電子學三3413,Electronics (Ⅲ)3,李致毅ctr,電二145ro,電二145ro,一2二89ro,本系優先總人數限 70人(Ⅲ)30人Lab,1,,,,,,2,3,0
34985,,9010,電機系05人,901 34130,04,3 年級34,3,半年年級,必修年級,電子學三3413,Electronics (Ⅲ)3,劉宗德ctr,電二144ro,電二144ro,一2二89ro,本系優先。總人數限 70人Ⅲ)30人Labor,1,,,,,,2,3,0
77475,,9010,電機系05總,901 39500,,3 年級39,2,半年年級,必修年級,電工實驗(數位電路)70人Ⅲ)30人,Electrical Engineering Lab (digital Circuit),簡韶逸ctr,,,,初選不開放。本系優先總人數限 30人ring Lab (digit,1,,,,,,2,0,6
60433,,9010,電機系03。,901 39700,,3 年級39,2,半年年級,必修年級,電工實驗(半導體)先總人數限 3,Electrical Engineering Lab (semiconductor),劉致為ctr,,,,初選不開放。本系優先總人數限 30人ring Lab (semic,1,,,,,,2,0,6
30431,,9010,電機系01。,901 39800,,3 年級39,2,半年年級,必修年級,電工實驗(通信專題)總人數限 30人,Electrical Engineering Lab (topics on Communication System),曹恒偉ctr,,,,初選不開放。上課地點:博理214；週四下午2點20分，本系優先。總人數限 30人mmunication System)生)0人限本系所學生(,1,,,,,,2,0,6
16147,,9010,電機系07。,901 40000,,3 年級40,2,半年年級,必修年級,電工實驗(自動控制):博理214；週,Electrical Engineering Lab (automatic Control),連豊力ctr,,,二5力,"初選不開放。本系優先.限已修過控制系統,未修者一律擋修.加簽時出示成績單核對,不得同時修習.總人數限 30人stem)生)0人限本系所學生(含輔系、雙修生)_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_",1,,,,,,2,0,6
38205,,9010,電機系05。,901 40600,,3 年級40,2,半年年級,必修年級,"電工實驗(嵌入式系統)限已修過控制系統,",Electrical Engineering Lab (embedded System),王勝德ctr,,,五789t,初選不開放。本系優先總人數限 24人ring Lab (embed,1,,,,明達303。本,,2,0,6
31145,,9010,電機系05。,901 40700,,3 年級40,2,半年年級,必修年級,電工實驗(生醫工程)總人數限 24人,Electrical Engineering Lab (biomedical Engineering),李百祺ctr,,,,初選不開放。本系優先總人數限 30人ring Lab (biome,1,,,,,,2,0,6
